"seconds_passed","temp"
0,3.23
1,3.2
2,3.13
3,3.3
4,3.15
5,3.27
6,3.28
6,3.08
7,3.19
8,3.2
9,3.28
10,3.22
11,3.3
11,3.23
12,3.2
13,3.18
14,3.22
15,3.24
16,3.25
16,3.29
17,3.29
18,3.15
19,3.14
20,3.25
21,3.19
21,3.22
22,3.07
23,3.12
24,3.23
25,3.25
26,3.23
26,3.11
27,3.21
28,3.23
29,3.13
30,3.22
30,3.22
31,3.07
32,3.35
33,3.28
34,3.28
35,3.12
35,3.16
36,3.3
37,3.25
38,3.52
39,3.34
40,3.27
40,3.23
41,3.2
42,3.15
43,3.23
44,3.13
45,3.13
45,3.12
46,3.24
47,3.27
48,3.22
49,3.21
50,3.02
50,3.03
51,3.22
52,3.24
53,3.26
54,3.18
55,3.24
55,3.08
56,3.29
57,3.18
58,3.27
59,3.15
59,3.18
100,3.4
101,3.1
102,3.14
103,3.27
104,3.33
104,3.08
105,3.39
106,3.04
107,3.23
108,3.23
109,3.05
109,3.26
110,3.07
111,3.17
112,3.28
113,3.23
114,3.16
114,3.12
115,3.04
116,3.25
117,3.28
118,3.12
119,3.3
119,3.17
120,3.26
121,3.33
122,3.14
123,3.2
123,3.36
124,3.27
125,3.28
126,3.19
127,3.21
128,3.23
128,3.17
129,3.25
130,3.28
131,3.25
132,3.22
133,3.2
133,3.19
134,3.18
135,3.16
136,3.17
137,3.27
138,3.1
138,3.28
139,3.21
140,3.22
141,3.27
142,3.22
143,3.26
143,3.17
144,3.24
145,3.19
146,3.19
147,3.27
148,3.4
148,3.27
149,3.27
150,3.22
151,3.17
152,3.19
152,3.28
153,3.24
154,3.2
155,3.2
156,3.25
157,3.21
157,3.17
158,3.19
159,3.04
200,3.16
201,3.25
202,3.23
202,3.27
203,3.2
204,3.24
205,3.14
206,3.24
207,3.23
207,3.2
208,3.15
209,3.11
210,3.24
211,3.15
212,3.18
212,3.32
213,3.25
214,3.05
215,3.14
216,3.11
217,3.39
217,3.2
218,3.31
219,3.4
220,3.34
221,3.22
221,3.17
222,3.21
223,3.15
224,3.13
225,3.16
226,3.21
226,3.21
227,3.43
228,3.09
229,3.34
230,3.15
231,3.22
231,3.26
232,3.55
233,3.33
234,3.05
235,3.27
236,3.02
236,3.19
237,3.27
238,3.12
239,3.11
240,3.11
241,3.23
241,3.09
242,3.22
243,3.02
244,3.48
245,3.16
245,3.18
246,3.28
247,3.1
248,3.12
249,3.26
250,3.26
250,3.16
251,3.02
252,3.22
253,3.36
254,3.36
255,3.34
255,3.3
256,3.43
257,3.17
258,3.25
259,3.38
300,3.29
300,3.15
301,3.22
302,3.24
303,3.24
304,3.12
305,3.34
305,3.26
306,3.34
307,3.28
308,3.37
309,3.25
310,3.23
310,3.36
311,3.18
312,3.39
313,3.29
314,3.22
314,3.27
315,3.1
316,3.18
317,3.09
318,3.23
319,3.22
319,3.11
320,3.13
321,3.25
322,3.21
323,3.36
324,3.2
324,3.27
325,3.16
326,3.36
327,3.47
328,3.13
329,3.32
329,3.16
330,3.34
331,3.56
332,3.15
333,3.15
334,3.22
334,3.19
335,3.37
336,2.94
337,3.24
338,3.22
338,3.3
339,3.15
340,3.23
341,3.23
342,3.28
343,3.25
343,3.35
344,3.22
345,3.15
346,3.18
347,3.34
348,3.15
348,3.25
349,3.2
350,3.3
351,3.42
352,3.21
353,3.12
353,3.29
354,3.29
355,3.27
356,3.42
357,3.07
358,3.35
358,3.18
359,3.23
400,3.32
401,3.37
402,3.26
403,3.2
403,3.12
404,3.04
405,3.3
406,3.23
407,3.29
407,3.26
408,3.26
409,3.41
410,3.33
411,3.38
412,3.05
412,3.28
413,3.29
414,3.33
415,3.34
416,3.13
417,3.2
417,3.27
418,3.26
419,3.27
420,3.26
421,3.41
422,3.12
422,3.14
423,3.26
424,3.33
425,3.28
426,3.26
427,3.35
427,3.27
428,3.12
429,3.39
430,3.31
431,3.31
431,3.17
432,3.38
433,3.28
434,3.31
435,3.37
436,3.39
436,3.28
437,3.3
438,3.28
439,3.29
440,3.26
441,2.92
441,3.34
442,3.22
443,3.32
444,3.24
445,3.24
446,3.25
446,3.38
447,3.27
448,3.2
449,3.28
450,3.19
451,3.22
451,3.13
452,3.25
453,3.18
454,3.37
455,3.37
456,3.18
456,3.24
457,3.22
458,3.46
459,3.51
500,3.45
500,3.06
501,3.45
502,3.28
503,3.25
504,3.18
505,3.39
505,3.35
506,3.21
507,3.01
508,3.29
509,3.29
510,3.39
510,3.04
511,3.25
512,3.21
513,3.25
514,3.45
515,3.42
515,3.03
516,3.26
517,3.4
518,3.35
519,3.17
520,3.23
520,3.44
521,3.66
522,3.58
523,3.52
524,3.2
525,3.01
525,3.2
526,3.22
527,3.44
528,3.31
529,3.23
529,3.08
530,3.28
531,3.35
532,3.31
533,2.96
534,3.24
534,3.3
535,3.22
536,3.23
537,3.15
538,3.4
539,3.27
539,3.14
540,3.09
541,3.34
542,3.3
543,3.24
544,3.32
544,3.18
545,3.38
546,3.37
547,3.23
548,3.26
549,3.25
549,3.48
550,3.31
551,3.34
552,3.18
553,3.2
553,3.34
554,3.27
555,3.42
556,3.18
557,3.17
558,3.34
558,3.11
559,3.3
600,3.22
601,3.27
602,3.44
603,3.2
603,3.21
604,3.32
605,3.27
606,3.13
607,3.32
608,3.2
608,3.21
609,3.51
610,3.38
611,3.16
612,3.24
613,3.46
613,3.26
614,3.3
615,3.27
616,3.3
617,3.3
618,3.25
618,3.16
619,3.23
620,3.52
621,3.22
622,3.36
622,3.23
623,3.34
624,3.22
625,3.33
626,3.3
627,3.32
627,3.04
628,3.38
629,3.17
630,3.25
631,3.26
632,3.38
632,3.34
633,3.28
634,3.4
635,3.34
636,3.31
637,3.16
637,3.25
638,3.24
639,3.33
640,3.14
641,3.28
642,3.39
642,3.2
643,3.3
644,3.25
645,3.34
646,3.15
647,3.26
647,3.34
648,3.19
649,3.45
650,3.24
651,3.26
651,3.22
652,3.45
653,3.33
654,3.19
655,3.24
656,3.43
656,3.2
657,3.14
658,3.11
659,3.4
700,3.25
701,3.21
701,3.15
702,3.33
703,3.36
704,3.53
705,3.14
706,3.49
706,3.34
707,3.26
708,3.28
709,3.31
710,3.38
711,3.35
711,3.26
712,3.53
713,3.24
714,3.48
715,3.32
